id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
324,1.6,1.48,1.11,1.23,1.22,1.06,0.95,1.13,1.77,2.13
325,4.19,3.65,3.03,4.23,4.03,4.8,4.76,3.93,4.57,4.45
326,1.96,1.64,1.17,1.66,1.53,0.84,0.66,0.45,1.3,1.4
327,3.71,3.21,3.15,3.82,3.88,3.19,2.96,3.45,3.69,4.1
328,1.2,1.34,1.14,1.66,1.47,1.5,1.35,1.45,2.16,2.16
329,3.51,3.28,3.15,3.31,3.14,4.3,4.18,3.31,3.74,3.57
330,4.14,3.83,3.5,4.15,4.01,3.57,3.61,3.95,4.83,4.52
331,1.2,1.18,1.23,1.25,2.13,1.47,1.61,1.87,2.63,2.76
332,2.79,2.63,2.25,3,3.16,3.01,2.73,2.68,3.33,3.08
333,5.72,5.38,4.93,5.85,6.15,5.51,5.22,5.42,6.41,6.62
334,0.54,0.52,0.29,0.49,0.41,0.68,0.79,0.87,1.28,1.25
335,5.24,5,4.53,5.39,5.11,5.41,5.94,5.08,5.79,5.63
336,5.9,5.35,4.74,5.87,6.18,5.96,5.46,5.4,7.13,7.07
337,2.11,1.88,1.67,2.13,1.97,2.02,1.88,1.46,2.07,2.12
338,1.46,1.12,1.34,1.59,0.97,0.72,0.59,0.43,0.46,0.42
339,0.08,0.11,0.12,0.11,0.15,,,0.18,0.19,0.22
343,1.04,0.87,0.8,1.18,1.1,1.76,1.74,1.15,1.48,1.5
344,1.17,1.12,1.01,1.39,1.33,1.51,1.34,0.92,1.29,1.5
345,1.34,1.48,1.34,1.46,1.35,3.17,3.06,1.29,1.79,2.08
346,5.07,4.33,3.91,4.85,4.88,4.39,4.16,3.96,4.75,4.45
347,1.08,0.92,0.71,0.72,0.71,0.44,0.37,0.59,0.75,0.72
348,4.17,3.46,3.26,3.57,3.78,3.93,3.84,4,4.89,5.17
349,3.49,3.03,2.57,3.41,2.59,1.05,1.09,1.04,2.47,2.36
350,1.75,1.68,1.48,1.67,1.84,1.87,1.89,1.71,2.04,2.15
351,1.77,1.76,1.69,1.89,1.77,1.84,1.75,1.73,2.14,2.26
352,4.33,3.9,3.4,4.5,4.73,5.1,5.28,4.19,5.06,4.96
353,3.79,3.47,3.3,3.86,3.86,4.04,4.16,4.25,5.08,5
354,1.48,1.3,0.9,1.18,1.36,1.25,1.46,1.61,1.76,1.8
355,2.93,2.01,1.36,2.78,2.6,3.49,3.44,3.99,5.67,6.24
356,7.3,6.38,5.88,7.33,7.66,7.62,7.95,7.65,9.17,9.26
357,2.17,2.13,1.8,1.91,2.04,2.16,2.2,1.77,2.25,2.36
358,4.33,3.97,3.59,4.46,4.56,4.14,3.96,3.54,4.44,4.32
359,2.28,2.19,1.98,2.45,1.97,3.27,3.15,1.6,2.04,2.23
360,7.37,6.8,6.1,6.85,6.83,6.82,6.88,7.71,9.95,10.52
361,1.93,1.84,1.56,1.99,1.91,1.57,1.51,1.57,1.75,1.63
362,5.69,5.04,4.61,5.47,5.69,4.42,4.45,4.07,5.32,5.1
363,4.58,3.78,3.75,4.61,4.21,4.59,4.37,3.16,3.83,3.48
364,2.18,1.72,1.46,1.69,1.94,1.78,1.84,1.74,2,1.87
365,1.61,1.4,1.4,1.43,1.23,1.07,1.06,0.97,1.43,1.39
366,0.99,0.72,0.73,0.98,0.75,0.81,0.6,0.7,0.88,0.94
367,2.86,2.69,2.6,3.29,2.94,2.45,2.27,2.67,3.14,3.02
368,4.21,4.15,3.95,4.7,4.43,4.44,4.3,4.1,5.34,5.01
369,2.72,2.69,2.33,2.68,2.58,2.63,2.47,0.93,1.01,0.92
370,7.68,7.15,6.54,8.49,7.5,5.84,5.15,6.37,7.47,7.73
371,12.02,10.14,9.2,11.86,11.86,10.4,10.16,12.24,15.97,16.99
372,20.48,17.89,14.82,17.49,16.31,15.84,15.85,14.48,17.44,15.97
373,1.64,1.48,1.29,1.37,1.28,2.04,2.36,1.13,1.44,1.52
374,4,3.71,3.29,4.17,3.74,3.61,3.63,3.81,4.47,4.25
375,2.15,1.99,1.74,2.1,1.98,2.55,2.52,1.6,1.91,1.75
376,5.69,4.93,4.14,4.75,4.57,4.66,4.49,4.32,5.53,5.37
377,7.81,6.73,6.06,6.88,6.56,6.59,6.28,5.96,7.66,7.64
378,2.81,2.64,2.65,2.84,2.93,2.56,2.76,2.89,3.5,3.81
379,7.55,6.85,5.96,7.02,6.93,6.75,6.79,6.45,7.68,7.49
380,10.25,9.15,8.07,9.87,10.08,10.58,10.73,8.79,10.53,10.05
381,2.48,2.22,1.96,2.23,2.01,2.16,1.97,1.88,2.8,3.07
382,3.27,2.7,2.33,2.98,2.82,2.34,2.37,2.15,2.56,2.73
383,6.88,6.89,6.39,7.6,7.34,7.28,6.98,7.24,8.5,8.62
385,9.88,9.12,8.17,9.7,9.53,8.8,8.24,8.21,9.62,9.23
386,2.23,1.87,1.52,1.56,1.17,0.96,0.88,0.78,1.05,1.18
387,5.68,5.11,5.1,6.13,5.69,5.49,5.28,4.13,4.98,5.22
388,1.77,1.49,1.49,1.74,2.26,1.66,1.6,1.17,1.18,1.25
389,14.15,14.07,14.11,15.89,14.54,10.27,9.71,9.3,13.26,13
390,1.43,1.15,1.07,1.43,1.51,1.21,1.18,0.95,1.53,1.51
391,1.56,1.6,1.62,1.91,1.96,2.16,2.18,1.8,2.27,2.37
392,8.12,7.53,6.86,8.21,8.36,8.3,8.01,6.51,7.52,7.26
393,4.68,4.35,3.71,3.51,3.23,4.61,4.92,3.36,4.52,4.27
394,3.23,3.16,2.75,3.39,3.19,3.05,2.79,2.95,3.47,3.32
395,1.66,1.57,1.48,1.68,2.01,1.75,1.41,1.37,2.21,2.44
396,3.15,2.95,2.77,3.13,3.05,3.22,3.14,2.47,3.02,3.08
397,1.06,0.76,0.53,1.21,1.15,1.1,1.07,1.31,1.76,1.95
398,0.39,0.35,0.35,0.54,0.57,0.71,0.79,0.75,0.86,0.85
399,2.14,2.03,1.77,1.99,2.25,2.16,2.26,1.95,2.42,2.02
400,3.98,3.88,3.75,4.46,4.39,4,3.97,3.65,4.18,3.91
401,3.2,2.71,2.61,3.34,3.24,3.12,2.96,2.92,3.54,3.47
402,2.02,1.94,1.73,1.92,1.73,2.02,1.94,1.52,2.2,2.21
403,2.74,2.7,2.6,3.21,3.07,3.21,3.33,3.16,3.7,3.25
404,3.07,2.92,2.42,2.96,2.9,2.71,2.79,2.63,3.2,3.2
405,6.17,5.53,4.89,5.98,6,5.87,5.82,5.98,7.23,6.94
406,1.6,1.46,1.34,1.52,1.58,1.3,1.32,1.44,1.96,2.04
407,2.64,2.34,1.99,2.41,2.23,2.21,2.16,2.12,2.52,2.91
408,3.22,2.68,2.55,2.86,2.75,2.58,2.7,2.66,3.14,3.01
409,2.48,2.22,1.89,2.75,2.58,2.72,2.6,2.36,2.69,2.66
410,0.6,0.5,0.51,0.88,0.6,0.71,0.79,0.56,0.65,0.6
411,0.9,2.42,2.17,2.89,3.11,2.54,2.58,2.8,3.53,3.11
412,0.7,0.62,0.51,0.66,0.63,0.59,0.53,0.63,0.97,1.66
413,7.05,6.26,5.26,6.14,6.23,6.62,6.38,5.16,6.52,6.25
416,1.83,1.49,1.05,1.82,1.89,1.83,1.63,1.5,1.95,1.89
417,3.42,2.56,2.2,2.75,2.85,2.77,2.95,2.66,3.27,3.14
418,5.19,4.6,4.1,5,5.17,5.23,4.84,3.51,4.35,4.44
419,4.79,4.03,3.51,4.05,3.91,4,3.72,3.09,3.57,3.48
420,2.73,2.46,2.07,2.75,2.66,2.88,2.63,2.08,2.69,2.52
421,1.9,1.57,1.46,1.98,1.96,1.68,1.61,1.91,2.53,2.83
422,3.29,2.95,2.84,3.76,3.91,4.9,5.15,4.77,6.25,5.93
423,2.78,2.73,2.45,3.24,3.59,3.57,4.07,4.21,5.01,5.13
424,0.89,0.87,0.66,0.91,0.92,0.86,0.76,0.86,1.07,0.94
425,1.7,1.56,1.46,1.67,1.59,1.42,1.48,1.23,1.52,1.42
426,2.85,2.64,2.48,3.11,2.88,2.44,2.18,2.09,2.81,2.75
428,2.44,2.25,2.16,2.48,2.17,1.9,1.83,1.18,2.38,2.22
430,4.34,3.83,3.57,5.36,5.28,5.59,6.14,5.53,7.16,7.15
431,2.85,2.64,2.39,2.81,2.68,2.24,2.18,2.26,2.94,3.05
432,4.24,3.7,3.33,3.76,3.62,3.62,3.39,3.36,4.11,4.17
433,1.7,1.47,1.25,1.33,1.31,1.17,1.15,1.01,1.2,1.18
434,2.6,2.19,1.87,2.12,1.93,2.16,2.02,1.7,2.64,2.72
435,0.4,0.44,0.5,0.61,0.51,0.49,0.47,0.4,0.47,0.5
436,2.4,2.09,2.09,2.26,2.17,2.36,2.21,1.93,2.47,2.71
437,2.37,2.1,2.04,2.5,3.1,3.42,3.4,3.35,4.87,5.05
438,1.49,1.75,1.86,2.14,2.38,3.49,4.07,3.47,4.38,4.07
442,3.9,3.78,3.68,4.13,4.01,4.48,4.11,3.6,4.19,4.05
443,1.87,2.08,2,2.23,2.15,1.95,2.12,1.93,2.52,2.61
444,4.03,3.86,3.58,4.48,4.33,3.95,3.71,3.9,4.97,4.64
445,4.22,3.69,3.09,3.28,3.45,3.33,3.31,2.82,3.25,3.2
446,1.87,1.82,1.58,1.98,2.03,2.16,2.1,1.91,2.41,2.42
447,2.97,2.51,2.27,3.03,3.06,3.63,4.24,4.81,5.94,6
448,3.44,3.02,2.52,3.66,3.96,3.48,3.9,4,5.02,4.49
449,1.31,1.06,0.94,1.38,1.39,1.31,1.28,1.16,1.5,1.52
450,4.52,3.67,3.17,3.86,4.06,3.75,3.83,3.79,4.59,4.57
451,6.01,5.49,4.92,6.35,6.76,6.9,7.2,8.47,10.72,11.35
452,1.52,1.31,1.16,1.34,1.21,1.3,1.21,1.35,2.29,2.57
453,2.04,2.14,1.93,2.39,2.33,2.4,2.33,2.41,2.87,2.93
454,2.18,2.07,1.97,2.21,1.99,1.71,1.68,1.53,1.93,1.88
455,2.25,2.28,2.04,2.36,2.24,2.22,2.09,1.71,2.32,2.12
456,0.19,0.17,0.16,0.18,0.22,0.14,0.13,0.22,0.26,0.29
457,1.99,1.71,1.55,1.75,1.79,1.78,1.66,1.6,1.87,1.75
458,1.97,1.85,1.68,1.87,1.86,2.22,2.35,2.01,2.27,2
459,4.92,4.69,3.98,4.71,4.48,4.33,4.3,4.01,4.9,4.75
460,5.24,4.97,4.74,5.27,4.94,5.06,5.12,4.74,5.81,5.41
