id,y_2011,y_2013,y_2015,y_2016,y_2020,y_2022,y_2023
345,99,35,51,39,71,128,64
346,215,199,178,153,206,187,202
347,137,87,108,51,42,91,75
348,194,122,142,160,128,154,254
349,4,13,14,31,14,22,14
350,14,8,16,0,9,4,13
351,45,17,16,5,18,32,29
352,2,3,14,0,3,9,3
353,37,18,24,11,44,51,79
354,11,7,20,15,7,9,14
355,6,1,5,2,3,13,7
356,5,4,12,2,7,27,13
357,187,19,25,62,63,31,56
358,26,33,28,55,52,40,83
359,22,20,17,24,79,79,40
360,277,114,170,171,335,583,534
361,357,213,349,265,192,168,132
362,189,142,232,214,132,229,142
363,609,208,261,207,316,368,331
364,34,14,22,4,8,41,20
365,299,192,156,98,149,87,163
366,101,32,84,98,162,245,172
367,394,151,149,61,69,174,136
368,351,134,164,,,338,141
369,527,180,219,125,125,193,537
370,297,335,283,525,295,522,658
371,747,570,738,604,530,1166,1131
372,134,54,94,66,94,89,95
373,45,17,53,38,60,56,50
374,499,393,335,280,253,442,411
375,9,4,17,8,11,80,39
376,85,105,95,118,70,80,123
377,148,54,67,88,283,118,166
378,307,185,179,147,187,387,366
379,23,3,13,5,4,13,16
380,62,23,52,37,74,15,69
381,320,111,72,86,199,71,112
382,762,436,506,456,257,295,320
383,627,113,533,193,131,389,343
385,516,556,360,384,442,252,281
386,286,366,431,178,100,220,258
387,544,152,306,141,274,348,339
388,296,88,192,203,122,215,229
389,1443,607,805,461,386,182,579
390,116,64,122,93,117,287,292
391,38,24,46,64,87,63,77
392,186,59,98,49,42,253,111
393,549,968,951,393,324,756,1066
394,95,96,80,151,142,247,244
395,,0,30,,,,
396,,3,2,6,6,,
397,,,,,,,
398,,1,,0,,,
399,,,3,,,,
400,,0,11,,,,1
401,,8,41,,,,
402,,0,36,,,,
403,,15,12,19,13,,
404,,1,23,27,,,
405,,9,6,10,,,
406,,32,48,20,15,,
407,,22,19,20,20,,
408,,15,32,29,19,,
409,,5,5,3,,,
410,,2,6,1,,,
411,,1,1,1,,,
412,,,,,,,
413,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,3,41,16,18,,
424,,,1,,,,
425,,3,8,4,5,,
426,,0,37,,,,
428,,30,30,14,11,5,1
430,,,,,,,
431,,35,26,18,23,,
432,,4,27,,,,
433,,1,5,,,,
434,,,,,,,
435,,9,23,14,10,,
436,,32,19,28,21,,
437,,,1,,,,
438,,3,9,4,,,
442,,1,19,10,15,,3
443,,,,,,,2
444,,,1,,,,
445,,,,,,,
446,,,,,,,
447,,,1,,,,
448,,17,111,9,,,
449,,3,10,1,,,
450,,,,,,,
451,,,,,,,
452,,,1,,,,
453,,,1,,,,
454,,23,26,16,17,,
455,,19,12,17,26,,
456,,0,17,,,,
457,,2,7,,,,
458,,8,2,1,,,
459,,3,19,,,,
460,,5,49,,,,
462,,,,,,,
463,,,,,,,
464,,,,,,,
465,,1,7,,,,
466,,,,,,,
467,,,,,,,
468,,,,,,,
469,,,,,,,
470,,4,5,1,,,
471,,33,11,14,,,
472,,6,10,17,,,
473,,1,,,,,
474,,7,20,6,,,
475,,,2,,,,
476,215,61,173,53,96,,
