id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
316,0.35,0.24,0.44,0.54,0.34,0.29,0.39,0.45,0.52
317,0.05,,,,,,0.06,0.07,0.09
318,0.08,,,,,,0.09,0.07,0.05
319,0.37,0.34,0.35,0.4,0.35,0.41,0.37,0.36,0.59
320,,,0.05,,0.22,0.23,0.13,0.19,0.17
321,0.15,0.16,,,,,0.13,0.11,0.16
322,,0.11,0.11,0.1,,,0.21,0.18,0.18
323,0.45,0.38,0.31,0.43,0.25,0.18,0.41,0.25,0.3
324,0.1,,0.12,,,,0.11,0.11,0.14
325,0.26,0.3,0.24,0.23,0.43,0.25,0.3,0.33,0.27
326,,0.07,0.07,,,,,,0.06
327,0.18,0.17,0.28,0.26,0.19,0.15,0.28,0.15,0.21
328,0.1,,0.08,0.1,,,0.14,0.07,0.13
329,0.24,0.28,0.22,0.16,0.32,0.23,0.3,0.29,0.29
330,0.23,0.19,0.23,0.2,0.19,0.24,0.27,0.29,0.31
331,0.06,0.1,0.11,0.1,0.13,,0.11,0.17,0.12
332,0.15,0.09,0.14,0.22,0.23,0.15,0.25,0.2,0.21
333,0.18,0.34,0.24,0.32,0.33,0.28,0.34,0.42,0.44
334,,,,,,,,,
335,0.3,0.38,0.31,0.32,0.38,0.34,0.42,0.45,0.55
336,0.33,0.3,0.19,0.3,0.34,0.16,0.47,0.55,0.63
337,0.13,0.12,0.16,,,0.12,0.13,0.1,0.13
338,0.06,0.06,0.05,,,,,,
339,,,,,,,,,
343,,,0.08,,,,0.07,0.05,0.07
344,,0.07,,,0.15,,0.08,0.06,0.06
345,,0.05,,0.1,0.12,0.14,0.12,0.14,0.16
346,0.2,0.25,0.28,0.24,0.27,0.3,0.26,0.21,0.32
347,0.1,,0.06,,,,,0.06,
348,0.12,0.09,0.2,0.24,0.24,0.29,0.27,0.28,0.33
349,0.15,0.16,0.17,,,,0.11,0.2,0.1
350,,,0.11,,0.18,0.13,0.16,0.1,0.22
351,0.11,0.1,0.09,,,,0.06,0.16,0.19
352,0.22,0.31,0.26,0.44,0.46,0.41,0.27,0.39,0.48
353,0.18,0.19,0.29,0.11,0.3,,0.39,0.4,0.27
354,0.09,0.05,,,,,0.12,0.06,
355,0.08,,0.07,,0.14,0.13,0.19,0.32,0.32
356,0.27,0.28,0.38,0.41,0.62,0.37,0.66,0.71,0.72
357,0.06,0.1,0.11,0.15,0.18,,0.13,0.16,0.19
358,0.22,0.16,0.17,0.2,0.48,0.17,0.43,0.44,0.31
359,0.09,0.05,0.11,,0.14,0.14,0.15,0.15,0.12
360,0.45,0.41,0.47,0.32,0.47,0.43,0.55,0.64,0.72
361,,0.12,0.05,0.1,,,0.14,0.14,0.1
362,0.35,0.44,0.24,0.22,0.13,0.2,0.25,0.33,0.26
363,0.28,0.19,0.28,0.34,0.25,0.25,0.15,0.19,0.27
364,0.06,0.07,0.08,,,,0.16,0.2,0.19
365,,0.06,0.05,,,,0.09,0.05,0.11
366,,,0.05,,,,,0.07,
367,0.16,0.09,0.12,0.12,0.15,0.14,0.19,0.16,0.2
368,0.28,0.26,0.25,0.33,0.46,0.26,0.53,0.49,0.3
369,0.12,0.21,0.17,0.15,0.17,0.18,0.06,0.06,0.07
370,0.29,0.38,0.36,0.4,0.27,0.38,0.43,0.32,0.41
371,0.68,0.65,0.78,0.74,0.65,0.8,0.82,0.9,1.15
372,0.63,0.7,0.55,0.49,1.08,0.75,1.17,1.3,1
373,,,,,0.18,0.12,0.11,0.09,0.14
374,0.12,0.24,0.18,0.24,0.15,0.14,0.3,0.24,0.29
375,0.05,,,,0.17,,0.08,0.1,0.06
376,0.27,0.26,0.29,0.27,0.32,0.25,0.23,0.36,0.41
377,0.42,0.5,0.4,0.38,0.44,0.51,0.52,0.61,0.55
378,0.05,0.17,0.11,,0.15,,0.24,0.22,0.15
379,0.56,0.61,0.36,0.52,0.67,0.45,0.57,0.59,0.5
380,0.76,0.73,0.69,0.74,0.9,0.82,0.73,0.66,0.66
381,0.1,0.1,0.15,,0.19,0.12,0.13,0.19,0.28
382,0.12,0.21,0.1,0.14,,0.11,0.1,0.16,0.19
383,0.35,0.37,0.44,0.32,0.43,0.33,0.5,0.58,0.45
385,0.49,0.55,0.52,0.52,0.55,0.47,0.62,0.66,0.61
386,,0.13,0.14,,,,,,
387,0.4,0.47,0.24,0.11,0.27,0.28,0.33,0.29,0.39
388,0.12,0.09,,,,,0.1,0.08,0.06
389,0.57,0.8,0.6,0.67,0.79,0.39,0.67,0.77,0.95
390,0.07,0.08,0.07,,,,0.08,0.1,0.06
391,0.09,0.06,,,0.16,,0.09,0.17,0.15
392,0.27,0.21,0.25,0.39,0.44,0.26,0.68,0.72,0.62
393,0.21,0.22,0.15,0.13,0.23,0.24,0.23,0.3,0.35
394,0.14,0.1,0.18,0.19,0.17,0.21,0.24,0.14,0.2
395,0.21,0.11,0.08,,0.15,,0.17,0.13,0.17
396,0.23,0.08,0.19,0.23,0.24,0.17,0.27,0.17,0.2
397,,,0.07,,,,0.13,0.1,0.1
398,,,,,,,0.06,0.07,0.11
399,0.1,0.11,0.17,0.24,0.16,0.18,0.13,0.15,0.18
400,0.31,0.41,0.41,0.32,0.39,0.36,0.4,0.34,0.23
