id,y_2013,y_2020,y_2021,y_2022,y_2023
283,7.3192,10.15,12.08,11.416849299999999,8.81
284,3.9314,4.81,5.93,7.837592912,5.94
285,,,,,
286,,,,,
287,,,,,
288,2.4261,2.28,2.55,2.378329127,2.87
289,15.0692,20.75,30.23,29.66598546,20.77
290,3.4847,2.38,3.58,3.0828633109999997,3.7
291,2.066,2.38,2.67,2.28448176,2.28
292,3.1045,3.35,3.81,2.895425667,2.1
293,4.3607,4.16,5.61,3.7476393089999998,4.04
294,1.8672,2.34,2.87,2.665883622,2.51
295,2.8903,3.64,3.34,2.850053882,4.08
296,4.3968,8.09,8.64,8.635347013,7.91
297,2.8498,2.12,2.87,2.056100234,0.92
298,0.5001,0.52,0.77,0.6624256173999999,0.54
299,9.0827,11.7,12.97,11.26045811,9.12
300,,0.1,0.11,0.06888668421000001,0.03
301,10.302,11.53,12.19,10.52878084,9.47
302,12.2134,9.93,13.98,9.251128069,8.18
303,2.1099,2.43,2.36,1.740912826,1.74
304,,0.12,0.13,0.104558184,0.12
305,4.0186,2.07,3.46,4.684601643,3.91
306,0.859,0.39,1.26,0.6736794381,0.74
307,10.176,11.71,20.66,13.62006979,9.83
308,5.661,7.57,7.68,5.8769261010000005,5.94
309,6.6074,5.46,6.41,6.585409113,5.91
310,8.9915,8.19,9.77,10.68207793,7.5
311,5.9217,7.14,8.48,6.429212996,6.07
312,3.3673,3.76,3.28,2.785321664,2.72
313,5.9404,7.06,8.17,7.270080672000001,5.28
314,6.5937,6.54,5.73,5.157189804,5.23
315,2.5018,3.63,4.36,3.9467151410000003,3.23
316,7.3782,7.67,13.83,8.684534512,8.04
317,8.1444,3.96,4.15,3.8292999780000003,2.95
318,9.8082,8.78,9.64,8.602360083999999,10.21
319,12.2642,14.49,12.73,15.35332856,11.48
320,5.3252,7.67,5.83,6.620829142,6.17
321,4.4845,6.02,6.63,4.39812363,3.98
322,5.3987,5.82,8.71,6.434064992,5.91
323,9.808,9.86,12.27,10.85122228,10.78
324,6.3527,6.64,8.73,8.320242037,8.26
325,9.8854,10.79,15.01,14.604522059999999,13.85
326,2.9224,3.5,4.21,3.835612745,3.17
327,3.8023,5.2,3.67,4.227975992,3.79
328,4.7697,5.21,5.86,5.011825562,5.83
329,6.4212,8.2,10.01,8.506219182999999,7.66
330,6.2632,10.57,10.62,9.298632053,8.39
331,2.1784,3.0,3.4,2.8071412249999996,2.69
332,5.0346,6.97,15.46,7.463053137,6.74
333,13.3293,15.04,16.86,16.03534102,12.5
334,,,,,
335,12.1297,13.08,14.45,11.012567160000001,12.13
336,8.2225,9.44,12.35,11.34487589,12.82
337,6.2639,7.34,15.1,7.277603769,5.89
338,2.2481,1.41,2.0,1.171834101,1.59
339,0.4031,1.4,1.43,1.404869702,1.42
343,7.5044,8.61,10.82,10.01070787,8.59
344,3.5414,4.15,6.33,4.592694732,3.92
345,3.6721,4.88,8.4,5.3272896560000005,4.77
346,9.5714,9.27,10.43,9.713088339,8.93
347,2.4579,2.99,3.15,3.080169335,3.05
348,13.8915,15.4,21.64,15.75180735,15.44
349,4.7362,4.31,3.71,4.667477745,3.43
350,6.2461,6.27,6.5,5.8459120250000005,5.95
351,5.4105,5.39,6.5,7.023306569,4.86
352,2.8276,2.9,3.05,1.977494572,2.4
353,14.2554,12.44,16.69,15.7875407,13.21
354,2.2242,2.34,2.93,2.129604627,2.12
355,2.6561,2.46,3.47,2.506401912,2.56
356,13.0274,13.35,21.09,15.038999879999999,12.18
357,8.3195,8.92,10.82,9.069123326,9.93
358,9.9259,12.04,10.47,6.673087966000001,9.88
359,13.996,12.41,13.43,9.75144965,11.62
360,16.165,19.45,25.36,22.16771072,20.57
361,7.0376,6.65,7.57,6.7322566329999995,6.67
362,9.9753,9.26,11.45,10.695735749999999,9.64
363,10.4286,11.6,11.5,11.058735079999998,10.68
364,13.3225,11.45,11.89,11.08401124,11.33
365,7.8872,8.16,9.25,6.80115915,6.6
366,3.6722,3.06,3.25,3.6351124720000003,2.77
367,13.0964,15.45,18.32,17.95684644,14.66
368,14.3442,10.75,14.3,11.382584609999999,10.6
369,4.1996,4.61,5.91,5.364579916,4.53
370,8.1114,7.17,8.81,9.364372588,7.06
371,25.3471,28.28,36.78,26.60203665,27.08
372,37.2933,45.38,53.7,46.391035949999996,48.01
373,11.5933,16.34,16.82,17.65539157,16.19
374,11.0066,12.91,15.43,10.29363879,12.44
375,13.0755,13.08,23.8,14.33047844,12.72
376,14.5699,16.44,20.81,19.79322678,16.76
377,15.6426,18.54,22.61,20.31814275,20.16
378,24.3338,29.57,31.48,29.74380489,23.79
379,20.9258,23.76,24.87,18.89566178,20.58
380,30.368,29.08,25.91,24.128099820000003,19.56
381,11.5864,12.14,15.78,11.45573077,12.87
382,8.7824,8.39,10.65,10.71612318,10.94
383,14.0919,14.27,18.13,15.14301799,12.66
385,18.9643,16.07,22.91,16.678038570000002,19.19
386,8.2372,10.54,12.59,10.71921296,9.78
387,12.0066,8.77,12.74,9.157364616999999,11.66
