id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
213,6,13,10,12,15,,,12,14,13,11
215,11,8,7,9,,,,7,6,,5
216,,8,,,,,,,,,8
217,7,9,7,7,,,12,7,7,13,15
218,23,24,22,23,16,26,14,26,21,11,9
219,6,9,7,12,,,,11,8,11,9
220,20,18,16,18,23,16,26,21,15,19,18
221,25,16,13,13,18,20,12,16,23,21,17
222,8,5,,5,,,,4,,4,5
223,26,20,25,12,22,13,26,21,19,12,20
224,17,19,16,15,18,14,15,20,16,21,16
225,6,7,7,15,,17,15,12,10,5,12
226,10,,5,,,,,,4,7,
227,20,29,33,29,37,30,24,31,27,29,22
228,8,,16,15,,,,10,7,10,6
229,19,17,20,29,32,34,31,52,44,42,52
230,5,4,,12,,,,5,8,8,10
231,24,22,25,28,37,26,30,29,34,36,31
232,20,23,24,27,34,26,30,36,38,34,39
233,9,19,11,20,11,20,15,18,13,20,16
234,38,37,44,48,38,29,36,44,40,42,48
235,20,9,12,19,,11,16,15,21,15,20
236,5,6,5,5,,,,6,,,
237,33,31,38,30,41,34,30,47,41,29,36
238,31,24,37,29,23,22,19,43,27,26,37
240,7,,6,7,,,,6,,7,9
241,11,5,12,11,12,11,12,19,19,16,15
242,19,26,24,20,24,16,15,22,18,18,24
243,,,,,,,,,12,8,11
244,23,35,26,20,22,14,11,24,28,14,22
245,10,8,7,12,,,11,14,6,9,8
246,18,20,16,15,23,,16,24,9,10,22
247,4,7,,8,7,,,12,7,6,9
248,10,11,9,12,,10,20,9,10,13,11
249,7,11,8,9,10,16,11,10,14,10,10
250,21,23,19,13,15,,17,14,8,5,7
251,18,25,34,25,25,27,26,32,40,24,33
252,8,11,8,6,,,,8,7,7,6
253,20,14,16,29,29,27,31,21,29,26,21
254,,,,,,,,,6,,6
255,31,32,32,37,30,47,38,43,32,46,30
256,13,7,21,22,23,22,26,31,32,49,35
257,37,44,37,38,44,41,60,63,83,64,80
258,34,40,36,27,39,37,41,28,30,25,39
259,24,26,18,27,29,24,15,27,21,19,26
260,36,32,25,40,33,29,36,29,22,25,31
261,25,19,19,27,26,25,16,22,25,25,24
262,24,20,22,24,28,20,27,21,16,22,26
263,18,19,20,20,13,16,18,17,24,18,25
264,18,13,22,24,37,16,25,21,38,16,18
265,12,15,13,19,17,19,18,17,19,10,6
266,29,37,37,30,24,37,30,27,42,30,43
267,42,43,35,55,52,52,46,68,67,46,58
268,26,20,17,25,23,17,18,26,28,18,18
269,18,21,22,20,29,16,16,22,35,23,24
270,11,11,7,13,10,13,,11,5,12,16
271,11,9,16,14,13,11,,12,12,5,16
272,10,6,6,6,,,,7,8,9,4
273,15,10,15,11,17,8,18,18,23,22,16
274,,,7,,,8,,11,7,12,8
275,24,25,14,29,20,15,24,11,22,19,18
276,17,20,13,25,22,24,17,21,24,25,20
277,14,15,12,21,26,16,29,21,30,23,29
278,11,9,13,13,12,18,13,12,17,20,16
