id,y_2017,y_2018,y_2020,y_2021,y_2023,y_2024
186,1,1,1,1,2,1
187,0,0,1,2,1,1
188,3,3,3,2,1,1
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,1,1,0,0,0,0
192,3,2,2,4,2,2
193,0,0,0,0,1,1
194,3,2,0,0,0,1
195,2,0,0,0,1,1
196,3,3,3,1,1,2
197,0,0,1,0,1,1
198,3,4,0,0,0,0
199,1,1,0,0,0,0
200,2,1,1,0,0,0
201,1,1,1,1,1,1
202,0,0,0,0,0,1
203,1,1,2,1,2,1
204,0,0,0,0,1,1
205,0,0,0,0,1,0
206,0,0,0,1,0,0
207,2,3,2,3,0,0
208,3,3,4,6,4,4
209,3,3,3,0,3,1
210,1,1,1,0,0,0
211,3,3,2,2,2,0
212,0,0,0,0,1,1
213,3,3,1,1,1,1
215,2,1,0,0,0,0
216,2,1,3,2,3,2
217,1,1,1,2,1,3
218,2,0,0,0,0,1
219,1,0,1,1,2,4
220,0,0,0,0,0,0
221,2,1,0,0,1,1
222,1,2,0,0,0,1
223,0,0,0,0,0,2
224,2,1,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,1,1,1,1,1,1
228,0,0,0,0,0,0
229,0,0,0,1,1,2
230,2,2,0,1,1,1
231,0,0,0,0,2,2
232,0,0,2,2,0,2
233,3,1,2,2,0,0
234,4,3,3,2,1,3
235,2,2,3,2,1,0
236,0,0,0,0,0,0
237,0,0,0,0,0,0
238,2,1,0,0,2,2
240,2,2,1,0,1,1
241,3,2,0,0,3,2
242,0,1,0,0,3,2
243,0,0,0,0,0,0
244,0,0,0,0,0,0
245,0,0,0,0,0,0
246,0,0,0,0,0,0
247,0,0,0,0,0,0
248,1,1,1,1,0,1
249,0,0,0,0,0,0
250,1,1,0,0,0,1
251,0,1,0,0,0,1
252,0,0,0,0,1,2
253,1,0,2,2,1,1
254,0,0,0,0,1,0
255,2,2,1,2,4,4
256,6,6,2,1,2,0
257,1,1,0,1,1,2
258,0,0,0,0,1,1
259,0,0,2,3,1,1
260,3,2,3,2,2,1
261,1,0,0,0,0,1
262,1,1,0,0,2,0
263,1,1,3,2,3,2
264,0,2,1,1,2,2
265,0,0,0,0,4,2
266,2,3,4,2,2,1
267,0,1,0,0,1,1
268,0,0,0,0,0,0
269,3,3,1,2,2,1
270,2,1,1,1,0,0
271,4,1,0,0,2,1
272,0,0,0,1,0,0
273,0,0,1,1,0,0
274,0,0,0,0,0,0
275,5,3,3,2,3,2
276,1,0,1,2,3,2
277,0,1,0,0,1,0
278,2,1,2,1,1,1
279,0,0,0,0,0,0
280,0,0,0,0,0,0
281,0,0,0,0,0,0
282,0,0,0,0,0,0
283,0,0,3,4,1,2
284,0,0,0,0,1,1
285,,,,,,
286,0,0,0,0,0,0
287,1,1,0,0,0,0
288,3,1,0,0,1,1
289,3,2,2,2,2,1
290,1,1,3,2,0,0
291,0,0,0,0,0,2
292,0,0,0,0,0,1
293,1,0,0,0,0,1
294,0,0,0,0,0,0
295,0,1,0,0,1,1
296,2,2,1,1,0,0
297,0,0,0,0,0,0
298,1,0,0,0,1,0
299,1,2,0,1,1,0
300,0,0,1,0,1,0
301,2,2,1,1,0,1
302,1,0,0,0,1,0
303,0,0,0,0,0,0
304,0,0,0,0,0,0
305,0,0,0,0,0,0
306,0,0,0,0,0,0
307,0,0,1,1,0,1
308,1,1,0,0,0,0
309,0,0,0,0,1,1
310,1,1,2,0,0,0
311,4,6,9,8,5,9
312,1,1,1,1,0,0
313,0,0,0,0,0,0
314,0,0,1,1,0,1
315,4,4,3,4,2,1
316,0,0,0,0,1,0
317,2,2,4,2,0,1
318,3,3,1,0,0,1
319,0,0,0,0,0,0
320,2,2,1,1,1,0
321,0,0,0,0,0,0
322,0,1,1,1,1,1
323,1,1,0,0,1,0
324,1,1,0,0,1,1
325,5,3,4,3,3,4
326,0,0,1,0,0,0
327,0,0,0,0,0,0
328,0,0,0,0,0,0
329,1,1,0,0,0,0
330,2,4,4,1,1,2
331,0,0,0,1,1,1
332,0,0,0,0,0,0
333,1,3,0,0,1,0
334,0,0,0,0,0,0
335,3,2,2,2,1,2
336,2,2,3,2,5,4
337,2,1,0,0,1,0
338,1,2,1,2,0,0
339,1,2,2,3,0,0
343,3,3,4,3,4,6
344,3,2,2,2,3,0
345,0,0,0,0,2,2
