id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
198,0.06,0.1,0.14,0.15,0.13,,0.11,0.12,0.15,0.12,0.16
199,0.32,0.31,0.46,0.29,0.27,0.3,0.23,0.39,0.35,0.32,0.35
200,0.05,0.05,0.05,0.07,,0.12,,0.12,0.16,0.06,0.08
201,0.21,0.22,0.12,0.19,0.17,0.18,0.19,0.22,0.28,0.28,0.19
202,0.32,0.29,0.23,0.33,0.39,0.24,0.28,0.38,0.38,0.3,0.38
203,0.13,0.17,0.16,0.22,0.28,0.2,0.27,0.23,0.27,0.21,0.24
204,0.09,0.15,0.17,0.19,0.11,0.19,0.26,0.21,0.32,0.21,0.24
205,0.16,0.05,0.11,0.06,,,,0.14,0.14,0.18,0.15
206,0.14,0.12,0.18,0.13,0.17,0.16,0.15,0.15,0.15,0.18,0.19
207,0.07,,0.1,0.09,0.13,0.12,0.14,0.15,0.15,0.11,0.09
208,0.12,0.21,0.24,0.21,0.18,0.19,0.14,0.14,0.24,0.21,0.27
209,0.44,0.51,0.43,0.63,0.41,0.45,0.56,0.52,0.61,0.44,0.56
210,0.1,,0.06,0.08,,,,0.11,0.16,0.12,0.14
211,0.39,0.25,0.31,0.39,0.45,0.31,0.38,0.44,0.41,0.36,0.33
212,0.12,0.09,0.11,0.1,0.14,,,0.11,0.17,0.23,0.18
213,0.06,0.14,0.12,0.13,0.15,,,0.12,0.16,0.13,0.11
215,0.11,0.09,0.07,0.09,,,,0.07,0.07,,0.05
216,,0.08,,,,,,,,,0.08
217,0.07,0.09,0.07,0.07,,,0.13,0.07,0.07,0.13,0.16
218,0.25,0.26,0.22,0.23,0.17,0.33,0.16,0.26,0.24,0.14,0.1
219,0.11,0.1,0.07,0.15,,,,0.12,0.1,0.12,0.14
220,0.26,0.23,0.17,0.2,0.24,0.16,0.31,0.24,0.21,0.2,0.21
221,0.29,0.2,0.14,0.13,0.19,0.23,0.18,0.18,0.29,0.23,0.22
222,0.08,0.05,,0.05,,,,0.05,,0.05,0.05
223,0.31,0.3,0.26,0.17,0.23,0.14,0.3,0.25,0.21,0.15,0.22
224,0.19,0.21,0.19,0.17,0.19,0.14,0.2,0.23,0.16,0.23,0.17
225,0.07,0.08,0.08,0.19,,0.2,0.17,0.13,0.12,0.07,0.13
226,0.11,,0.05,,,,,,0.05,0.07,
227,0.25,0.32,0.38,0.31,0.38,0.35,0.29,0.36,0.33,0.33,0.22
228,0.13,,0.16,0.15,,,,0.1,0.08,0.1,0.07
229,0.28,0.25,0.23,0.35,0.37,0.41,0.39,0.63,0.54,0.59,0.66
230,0.08,0.06,,0.17,,,,0.05,0.14,0.09,0.13
231,0.24,0.22,0.26,0.28,0.37,0.28,0.34,0.31,0.36,0.43,0.36
232,0.25,0.28,0.25,0.3,0.35,0.31,0.31,0.4,0.43,0.37,0.42
233,0.1,0.2,0.12,0.2,0.12,0.23,0.16,0.2,0.15,0.2,0.17
234,0.46,0.43,0.54,0.53,0.44,0.3,0.43,0.58,0.5,0.45,0.56
235,0.22,0.12,0.13,0.19,,0.13,0.17,0.15,0.21,0.16,0.2
236,0.05,0.06,0.05,0.05,,,,0.06,,,
237,0.4,0.39,0.43,0.35,0.48,0.41,0.36,0.51,0.45,0.36,0.41
238,0.37,0.3,0.42,0.33,0.25,0.25,0.23,0.49,0.31,0.3,0.39
240,0.14,,0.07,0.07,,,,0.06,,0.07,0.1
241,0.12,0.05,0.12,0.11,0.12,0.11,0.13,0.19,0.2,0.16,0.15
242,0.23,0.29,0.3,0.21,0.27,0.22,0.2,0.25,0.24,0.2,0.25
243,,,,,,,,,0.13,0.08,0.13
244,0.25,0.37,0.27,0.21,0.23,0.17,0.13,0.27,0.31,0.17,0.26
245,0.15,0.1,0.08,0.13,,,0.13,0.16,0.07,0.11,0.08
246,0.21,0.27,0.2,0.17,0.25,,0.19,0.24,0.17,0.14,0.26
247,0.09,0.07,,0.11,0.12,,,0.14,0.12,0.1,0.09
248,0.12,0.14,0.1,0.14,,0.11,0.2,0.14,0.14,0.21,0.12
249,0.16,0.2,0.11,0.12,0.11,0.22,0.11,0.15,0.28,0.15,0.12
250,0.21,0.23,0.2,0.14,0.15,,0.19,0.14,0.08,0.05,0.07
251,0.19,0.28,0.36,0.25,0.25,0.33,0.28,0.32,0.4,0.27,0.38
252,0.08,0.13,0.08,0.06,,,,0.08,0.08,0.08,0.07
253,0.22,0.16,0.16,0.29,0.29,0.29,0.33,0.21,0.31,0.26,0.23
254,,,,,,,,,0.07,,0.07
255,0.31,0.32,0.32,0.37,0.3,0.49,0.39,0.43,0.33,0.47,0.31
256,0.13,0.07,0.23,0.22,0.24,0.25,0.27,0.33,0.34,0.52,0.39
257,0.41,0.45,0.39,0.39,0.44,0.43,0.61,0.66,0.88,0.66,0.85
258,0.43,0.47,0.44,0.35,0.47,0.41,0.42,0.33,0.35,0.3,0.4
259,0.3,0.33,0.19,0.3,0.31,0.26,0.18,0.31,0.25,0.21,0.28
260,0.43,0.41,0.34,0.44,0.42,0.3,0.38,0.33,0.29,0.29,0.33
261,0.25,0.22,0.21,0.28,0.29,0.32,0.17,0.24,0.26,0.27,0.28
262,0.26,0.21,0.24,0.24,0.28,0.25,0.29,0.22,0.16,0.23,0.27
263,0.21,0.22,0.2,0.2,0.13,0.17,0.19,0.18,0.25,0.19,0.26
264,0.19,0.17,0.23,0.24,0.38,0.2,0.28,0.21,0.41,0.16,0.2
265,0.12,0.16,0.14,0.19,0.18,0.24,0.19,0.17,0.21,0.12,0.08
266,0.31,0.4,0.38,0.33,0.27,0.43,0.32,0.3,0.43,0.35,0.46
267,0.46,0.48,0.38,0.6,0.54,0.58,0.5,0.72,0.73,0.56,0.62
268,0.31,0.24,0.21,0.29,0.26,0.19,0.21,0.27,0.33,0.19,0.22
269,0.19,0.21,0.22,0.2,0.31,0.18,0.17,0.22,0.36,0.23,0.24
270,0.18,0.17,0.09,0.18,0.11,0.15,,0.16,0.08,0.16,0.2
271,0.13,0.11,0.18,0.17,0.16,0.13,,0.13,0.14,0.07,0.16
272,0.13,0.07,0.07,0.07,,,,0.08,0.08,0.11,0.05
273,0.18,0.1,0.15,0.11,0.2,0.12,0.22,0.18,0.24,0.24,0.19
274,,,0.07,,,0.11,,0.13,0.08,0.12,0.08
275,0.26,0.26,0.14,0.3,0.2,0.18,0.26,0.13,0.25,0.2,0.18
276,0.19,0.23,0.15,0.27,0.22,0.29,0.24,0.23,0.25,0.25,0.21
277,0.14,0.16,0.14,0.21,0.26,0.18,0.3,0.25,0.31,0.27,0.29
278,0.13,0.1,0.14,0.13,0.12,0.18,0.15,0.12,0.21,0.2,0.18
279,0.08,0.1,,0.11,0.1,,,0.1,0.09,0.09,0.13
280,0.25,0.22,0.26,0.29,0.27,0.16,0.16,0.38,0.36,0.23,0.39
281,0.17,0.1,0.13,0.14,0.24,,,0.13,0.12,0.18,0.23
282,0.22,0.28,0.28,0.21,0.35,0.33,0.3,0.3,0.33,0.24,0.38
283,0.3,0.27,0.35,0.43,0.46,0.3,0.26,0.41,0.37,0.48,0.35
284,0.11,0.21,0.16,0.21,0.21,0.33,0.29,0.22,0.2,0.35,0.22
285,,,,,,,,,,,
286,,0.07,0.06,0.05,,,0.11,,0.06,,0.07
287,0.22,0.24,0.18,0.2,0.26,0.16,0.26,0.17,0.25,0.26,0.12
288,0.2,0.2,0.13,0.11,0.13,0.13,0.22,0.17,0.18,0.15,0.22
289,0.41,0.29,0.41,0.45,0.41,0.39,0.43,0.58,0.57,0.53,0.57
290,,0.09,0.09,0.06,,0.11,0.11,0.09,0.1,0.08,0.05
291,0.29,0.25,0.22,0.24,0.23,0.25,0.2,0.25,0.25,0.18,0.23
292,0.14,0.14,0.14,0.13,0.15,,,0.07,0.11,0.12,0.11
293,0.11,0.07,0.17,0.06,,0.12,,0.11,0.07,0.14,0.1
294,0.12,0.15,0.11,0.13,0.19,0.17,,0.09,0.09,0.1,0.08
295,0.17,0.23,0.11,0.16,0.15,,0.11,0.17,0.13,0.08,0.12
296,0.1,0.12,0.1,0.21,0.19,0.24,0.17,0.27,0.22,0.22,0.38
297,,,,,,,,0.08,,,
298,0.06,0.12,0.13,0.1,0.14,0.15,0.18,0.13,0.12,0.13,0.13
299,0.28,0.27,0.36,0.3,0.38,0.38,0.24,0.23,0.39,0.29,0.32
300,,0.06,0.06,0.13,,,,,0.1,,
301,0.31,0.24,0.29,0.17,0.27,0.18,0.26,0.31,0.28,0.21,0.25
302,0.22,0.34,0.33,0.37,0.24,0.24,0.18,0.37,0.18,0.34,0.38
303,0.16,0.11,0.18,0.1,0.2,0.22,0.15,0.14,0.13,0.12,0.13
304,0.11,,0.11,0.09,0.1,,,0.08,0.08,0.13,0.1
305,,0.07,0.07,0.05,0.12,,,0.18,0.14,0.14,0.1
306,,0.05,0.09,0.05,,,,0.06,0.1,0.08,0.13
307,0.47,0.42,0.43,0.33,0.55,0.34,0.37,0.35,0.46,0.41,0.4
308,0.07,0.2,0.16,0.21,0.16,0.14,0.17,0.2,0.16,0.25,0.26
309,0.17,0.19,0.25,0.3,0.19,0.26,0.23,0.25,0.3,0.23,0.3
310,0.44,0.45,0.47,0.44,0.4,0.45,0.44,0.37,0.35,0.5,0.43
311,0.1,0.1,0.07,0.06,0.13,,,0.09,0.17,0.06,0.09
312,0.29,0.2,0.19,0.15,0.26,0.14,,0.19,0.27,0.16,0.15
313,0.13,0.36,0.24,0.3,0.24,0.27,0.24,0.18,0.28,0.26,0.24
314,0.3,0.21,0.23,0.13,0.17,,0.11,0.17,0.27,0.24,0.23
315,,,,,,,,,,,
316,0.4,0.44,0.32,0.53,0.38,0.33,0.28,0.45,0.48,0.29,0.53
317,0.08,0.11,0.08,,,,,0.14,0.09,0.09,0.08
318,0.11,0.06,0.07,0.09,,,,0.06,0.06,0.05,0.07
319,0.47,0.45,0.39,0.44,0.41,0.33,0.44,0.39,0.43,0.38,0.32
320,0.1,0.1,0.06,,,0.19,0.23,0.09,0.08,0.11,0.14
321,0.18,0.16,0.26,0.1,0.16,,,0.22,0.07,0.1,0.1
322,0.16,0.14,0.16,0.1,0.17,,,0.07,0.07,0.16,0.15
323,0.5,0.39,0.43,0.41,0.45,0.22,0.28,0.3,0.28,0.32,0.45
324,0.16,0.14,0.1,0.1,0.14,,,0.09,0.09,0.08,0.14
325,0.29,0.32,0.27,0.35,0.31,0.14,0.27,0.37,0.25,0.28,0.3
326,0.16,0.17,0.12,,,,,0.05,0.06,0.07,0.05
327,0.33,0.15,0.16,0.16,0.19,0.18,0.16,0.24,0.23,0.32,0.24
328,0.12,0.14,0.09,0.11,,0.12,,0.12,0.19,0.1,0.13
329,0.26,0.23,0.19,0.31,0.28,0.27,0.24,0.22,0.23,0.15,0.27
330,0.23,0.19,0.32,0.3,0.29,0.27,0.18,0.29,0.25,0.28,0.19
331,0.13,0.09,,,0.13,,,0.09,0.12,0.12,0.13
332,0.17,0.17,0.22,0.22,0.18,0.21,0.2,0.23,0.16,0.2,0.22
333,0.41,0.4,0.44,0.38,0.49,0.23,0.24,0.37,0.42,0.31,0.32
334,,,,,,,,,,,
335,0.4,0.44,0.37,0.36,0.47,0.36,0.43,0.47,0.47,0.39,0.36
336,0.52,0.54,0.55,0.49,0.53,0.39,0.54,0.56,0.34,0.34,0.48
337,0.19,0.15,0.19,0.08,0.13,0.15,,0.11,0.11,0.13,0.07
