id,y_2011,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
447,0,0,0,0,0,0,0,0,0,0
448,0,31,728,728,735,684,753,744,753,796
449,0,173,175,171,173,188,259,256,259,259
450,0,0,0,0,0,0,0,0,0,0
451,0,2,2,2,2,2,2,0,2,40
452,0,128,127,129,117,141,107,118,127,153
453,496,511,511,510,514,497,540,564,609,607
454,33,57,62,62,64,56,63,59,59,58
455,149,126,126,127,111,136,133,113,125,126
456,181,183,178,178,177,177,228,284,292,293
457,0,0,0,0,0,0,0,0,0,0
458,8,1,1,1,36,29,36,36,36,36
459,93,124,124,124,124,102,123,124,124,125
460,0,0,0,0,0,0,0,657,657,658
462,0,4,4,4,3,84,8,0,10,10
463,0,374,374,374,440,69,1723,1717,1676,1731
464,165,123,123,122,282,527,523,523,523,491
465,0,0,0,0,0,0,0,0,0,0
466,61,46,46,46,46,61,46,46,40,40
467,178,287,287,287,287,171,287,287,287,277
468,0,15,15,13,13,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0
470,56,157,159,159,160,98,170,170,170,170
471,558,1082,1080,1079,1080,1247,1365,1366,1374,1374
472,0,11,11,11,10,17,13,14,14,14
473,0,814,828,822,832,597,492,493,494,495
474,579,695,698,698,701,676,703,703,704,880
475,0,107,109,109,108,0,0,0,0,0
476,5954,5039,5435,5615,5614,7019,8698,9621,10745,8459
