id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
144,10.0,10.0,16.0,13.0,11.0,11.0,7.0,6.0,10.0
145,11.0,11.0,16.0,16.0,18.0,12.0,8.0,13.0,12.0
146,19.0,12.0,4.0,10.0,9.0,5.0,8.0,12.0,11.0
147,7.0,6.0,17.0,10.0,9.0,10.0,14.0,14.0,12.0
148,13.0,21.0,18.0,20.0,17.0,12.0,20.0,15.0,14.0
149,9.0,8.0,14.0,7.0,8.0,,9.0,10.0,19.0
150,10.0,4.0,5.0,6.0,13.0,5.0,9.0,6.0,12.0
151,34.0,27.0,42.0,44.0,56.0,49.0,44.0,64.0,67.0
152,4.0,2.0,4.0,,,,5.0,8.0,4.0
153,13.0,18.0,18.0,16.0,32.0,20.0,31.0,24.0,30.0
154,8.0,11.0,4.0,11.0,15.0,9.0,10.0,11.0,15.0
155,5.0,5.0,7.0,7.0,18.0,10.0,8.0,9.0,12.0
156,15.0,11.0,14.0,10.0,16.0,17.0,21.0,23.0,17.0
157,4.0,2.0,2.0,,,,,2.0,0.0
158,6.0,9.0,6.0,14.0,15.0,9.0,6.0,16.0,17.0
159,2.0,6.0,,,,4.0,3.0,2.0,3.0
160,11.0,6.0,7.0,3.0,6.0,8.0,5.0,11.0,4.0
161,6.0,7.0,2.0,6.0,16.0,7.0,5.0,4.0,10.0
162,12.0,4.0,8.0,8.0,10.0,5.0,7.0,9.0,6.0
163,,,1.0,,,,4.0,8.0,6.0
164,9.0,8.0,14.0,6.0,11.0,7.0,9.0,8.0,10.0
165,5.0,10.0,7.0,12.0,5.0,5.0,6.0,6.0,15.0
166,4.0,,2.0,,5.0,4.0,2.0,2.0,3.0
167,,2.0,1.0,,,,,3.0,3.0
168,3.0,4.0,4.0,5.0,9.0,4.0,3.0,2.0,5.0
169,12.0,17.0,15.0,12.0,32.0,28.0,35.0,51.0,53.0
170,20.0,15.0,26.0,12.0,23.0,27.0,20.0,28.0,29.0
171,4.0,,6.0,,,,3.0,7.0,
172,31.0,21.0,20.0,32.0,37.0,38.0,62.0,61.0,79.0
173,7.0,1.0,6.0,7.0,7.0,7.0,1.0,4.0,5.0
174,10.0,12.0,8.0,5.0,15.0,5.0,11.0,10.0,13.0
175,10.0,14.0,8.0,10.0,7.0,17.0,12.0,14.0,14.0
176,26.0,21.0,43.0,31.0,37.0,27.0,32.0,42.0,36.0
177,,,7.0,,12.0,,16.0,6.0,10.0
178,,,,,,,5.0,0.0,5.0
179,4.0,7.0,6.0,11.0,14.0,,14.0,20.0,7.0
180,4.0,11.0,1.0,7.0,8.0,4.0,8.0,10.0,8.0
181,8.0,8.0,16.0,11.0,12.0,14.0,19.0,22.0,15.0
182,1.0,1.0,1.0,,,,0.0,2.0,
183,2.0,2.0,,,9.0,6.0,2.0,1.0,3.0
184,,,4.0,,,,3.0,7.0,6.0
185,17.0,8.0,8.0,8.0,7.0,7.0,10.0,6.0,11.0
186,9.0,13.0,14.0,15.0,20.0,12.0,12.0,12.0,17.0
187,8.0,8.0,9.0,,12.0,12.0,3.0,18.0,7.0
188,6.0,15.0,14.0,10.0,34.0,,27.0,27.0,39.0
189,4.0,5.0,7.0,,,6.0,7.0,16.0,15.0
190,4.0,6.0,1.0,,10.0,,4.0,9.0,5.0
191,15.0,16.0,9.0,18.0,19.0,7.0,11.0,12.0,8.0
192,3.0,9.0,12.0,10.0,12.0,14.0,9.0,10.0,18.0
193,4.0,7.0,9.0,5.0,,,14.0,10.0,12.0
194,34.0,33.0,44.0,35.0,42.0,54.0,45.0,45.0,49.0
195,10.0,9.0,8.0,8.0,14.0,7.0,15.0,18.0,15.0
196,9.0,9.0,4.0,8.0,12.0,8.0,14.0,7.0,18.0
197,7.0,7.0,5.0,5.0,11.0,2.0,8.0,7.0,6.0
198,7.0,5.0,4.0,7.0,3.0,,12.0,13.0,2.0
199,5.0,4.0,11.0,5.0,10.0,11.0,5.0,8.0,13.0
200,2.0,,3.0,1.0,4.0,,2.0,2.0,4.0
201,14.0,7.0,11.0,6.0,17.0,,20.0,9.0,13.0
202,5.0,3.0,8.0,16.0,9.0,9.0,14.0,10.0,9.0
203,9.0,7.0,7.0,6.0,12.0,9.0,7.0,13.0,13.0
204,9.0,3.0,15.0,9.0,19.0,14.0,16.0,18.0,22.0
205,7.0,8.0,7.0,9.0,13.0,,13.0,18.0,14.0
206,13.0,13.0,15.0,13.0,13.0,11.0,15.0,18.0,19.0
207,1.0,3.0,2.0,1.0,11.0,7.0,3.0,4.0,5.0
208,5.0,7.0,7.0,,17.0,,20.0,22.0,22.0
209,12.0,11.0,9.0,16.0,16.0,16.0,13.0,12.0,22.0
210,,4.0,3.0,,,,5.0,9.0,3.0
211,13.0,12.0,12.0,10.0,18.0,11.0,9.0,8.0,16.0
212,2.0,4.0,3.0,,,,2.0,3.0,5.0
213,5.0,13.0,5.0,7.0,11.0,,9.0,6.0,13.0
215,,,4.0,,,,5.0,9.0,5.0
216,,6.0,5.0,,,,8.0,5.0,
217,,4.0,5.0,,10.0,,10.0,8.0,15.0
218,4.0,7.0,3.0,6.0,14.0,9.0,7.0,11.0,6.0
219,1.0,,,,,,0.0,1.0,4.0
220,10.0,11.0,9.0,9.0,8.0,10.0,6.0,12.0,9.0
221,4.0,2.0,7.0,4.0,7.0,5.0,3.0,3.0,5.0
222,,,,,,,,6.0,7.0
223,7.0,10.0,4.0,7.0,10.0,4.0,5.0,9.0,4.0
224,9.0,12.0,7.0,8.0,11.0,10.0,10.0,7.0,4.0
225,3.0,2.0,4.0,4.0,9.0,8.0,1.0,2.0,2.0
226,,,,,,,4.0,,
227,12.0,11.0,10.0,17.0,10.0,13.0,5.0,16.0,17.0
228,5.0,2.0,2.0,,,,1.0,3.0,2.0
229,6.0,10.0,4.0,23.0,15.0,14.0,11.0,20.0,21.0
230,3.0,1.0,,,,2.0,1.0,3.0,2.0
231,7.0,13.0,6.0,8.0,16.0,14.0,10.0,17.0,7.0
232,12.0,4.0,5.0,7.0,9.0,10.0,19.0,16.0,16.0
233,9.0,8.0,8.0,,12.0,,17.0,9.0,6.0
234,19.0,13.0,17.0,10.0,22.0,11.0,14.0,16.0,28.0
235,12.0,,9.0,6.0,16.0,,21.0,17.0,20.0
236,,,4.0,,,,8.0,4.0,
237,11.0,9.0,9.0,6.0,10.0,14.0,11.0,13.0,14.0
238,6.0,4.0,9.0,8.0,18.0,2.0,5.0,8.0,14.0
240,,3.0,,,,,1.0,3.0,3.0
241,5.0,7.0,4.0,,20.0,,14.0,14.0,14.0
242,8.0,7.0,11.0,8.0,17.0,2.0,5.0,9.0,12.0
243,,,,,,,4.0,4.0,5.0
244,5.0,2.0,7.0,3.0,5.0,5.0,5.0,17.0,15.0
245,2.0,1.0,2.0,3.0,4.0,,1.0,9.0,1.0
246,4.0,5.0,4.0,9.0,5.0,2.0,11.0,6.0,10.0
247,2.0,1.0,2.0,,2.0,,2.0,6.0,1.0
248,3.0,4.0,2.0,4.0,4.0,2.0,5.0,7.0,4.0
249,1.0,4.0,4.0,3.0,8.0,2.0,2.0,8.0,5.0
250,8.0,4.0,1.0,2.0,8.0,3.0,3.0,,
251,4.0,8.0,9.0,9.0,16.0,10.0,11.0,8.0,6.0
252,1.0,5.0,4.0,,,,2.0,2.0,5.0
253,18.0,11.0,18.0,12.0,22.0,17.0,9.0,28.0,23.0
254,,,,,,,4.0,5.0,
255,22.0,11.0,19.0,15.0,33.0,23.0,21.0,42.0,30.0
256,8.0,18.0,10.0,8.0,21.0,14.0,24.0,35.0,54.0
257,28.0,22.0,27.0,37.0,48.0,33.0,55.0,68.0,65.0
258,9.0,14.0,19.0,7.0,16.0,8.0,8.0,9.0,16.0
259,12.0,7.0,11.0,4.0,9.0,5.0,7.0,11.0,9.0
260,11.0,13.0,10.0,9.0,19.0,8.0,9.0,6.0,22.0
261,14.0,13.0,13.0,12.0,19.0,9.0,18.0,9.0,4.0
262,27.0,18.0,19.0,16.0,14.0,17.0,17.0,20.0,24.0
263,8.0,9.0,7.0,6.0,19.0,9.0,24.0,14.0,10.0
264,8.0,7.0,8.0,5.0,13.0,12.0,4.0,11.0,8.0
265,3.0,6.0,4.0,6.0,,10.0,3.0,7.0,6.0
266,11.0,7.0,19.0,11.0,20.0,14.0,17.0,11.0,15.0
267,39.0,26.0,34.0,27.0,44.0,28.0,21.0,30.0,32.0
268,11.0,9.0,10.0,10.0,9.0,11.0,9.0,7.0,12.0
269,9.0,13.0,10.0,10.0,23.0,11.0,20.0,20.0,17.0
270,2.0,1.0,4.0,4.0,7.0,,4.0,6.0,3.0
271,2.0,4.0,3.0,3.0,4.0,,2.0,3.0,4.0
272,1.0,3.0,3.0,4.0,,,4.0,4.0,7.0
273,4.0,6.0,5.0,8.0,7.0,2.0,3.0,10.0,20.0
274,2.0,4.0,,,,,2.0,1.0,4.0
275,9.0,7.0,9.0,5.0,11.0,6.0,7.0,8.0,6.0
276,7.0,5.0,3.0,9.0,12.0,8.0,7.0,5.0,7.0
